ActivityKey,Type
3762,Track
27096,Exam
1646,Assessment
16426,Assessment
37116,Exam
51988,Exam
12032,Track
43508,Exam
105729,Course
111669,Course
123709,Course
124429,Course
170199,Course
175719,Course
21896,Assessment
2676,Assessment
21016,Assessment
37376,Exam
186249,Course
189019,Course
26732,Track
31352,Track
8846,Certification
27386,Certification
3736,Assessment
22016,Assessment
6742,Track
49968,Exam
85778,Exam
46418,Exam
27276,Certification
1676,Assessment
16466,Assessment
37236,Exam
26542,Track
5322,Track
26392,Track
103889,Course
114479,Course
120849,Course
125639,Course
162609,Course
177379,Course
26246,Certification
2716,Assessment
21146,Assessment
37406,Exam
187559,Course
189309,Course
40598,Exam
12872,Track
8866,Certification
27426,Certification
3796,Assessment
22066,Assessment
2002,Track
668,Exam
40578,Exam
31702,Track
27306,Certification
1696,Assessment
16496,Assessment
37306,Exam
27622,Track
40618,Exam
43968,Exam
104599,Course
108389,Course
123329,Course
123309,Course
169879,Course
173719,Course
26356,Certification
2936,Assessment
21196,Assessment
37436,Exam
186349,Course
187809,Course
6622,Track
12282,Track
9036,Certification
27526,Certification
4036,Assessment
22136,Assessment
572,Track
46408,Exam
28252,Track
52318,Exam
27406,Certification
1756,Assessment
16546,Assessment
37316,Exam
13062,Track
42368,Exam
29542,Track
104589,Course
109789,Course
123199,Course
126729,Course
168639,Course
176259,Course
26376,Certification
2946,Certification
21236,Assessment
37516,Exam
187189,Course
188579,Course
18878,Exam
26192,Track
9206,Certification
27556,Certification
4046,Assessment
22406,Assessment
48508,Exam
98368,Exam
52328,Exam
51088,Exam
27496,Certification
1906,Certification
16556,Assessment
37346,Exam
468,Exam
34338,Exam
428,Exam
105159,Course
108269,Course
120679,Course
138579,Course
162369,Course
176069,Course
26396,Certification
2986,Assessment
21276,Assessment
37576,Exam
186859,Course
189199,Course
98198,Exam
13972,Track
9356,Certification
27696,Certification
4206,Certification
22436,Assessment
49708,Exam
45518,Exam
10162,Track
52918,Exam
27546,Certification
1956,Certification
16736,Assessment
37606,Exam
51698,Exam
11022,Track
30792,Track
105169,Course
118559,Course
122489,Course
123919,Course
170119,Course
174479,Course
26436,Certification
2996,Assessment
21456,Assessment
37666,Exam
185949,Course
188709,Course
10072,Track
13902,Track
9486,Certification
27746,Certification
4236,Assessment
22506,Assessment
47798,Exam
41748,Exam
8412,Track
50198,Exam
27566,Certification
1996,Assessment
16796,Assessment
37636,Exam
31412,Track
13862,Track
27152,Track
104809,Course
114719,Course
120119,Course
137389,Course
158559,Course
176269,Course
26566,Exam
3026,Assessment
21586,Assessment
37716,Exam
186989,Course
189549,Course
12682,Track
43388,Exam
9546,Certification
27776,Certification
4246,Assessment
22566,Assessment
41298,Exam
86448,Exam
5382,Track
898,Exam
27706,Certification
2006,Certification
16866,Assessment
37836,Exam
2742,Track
14052,Track
43088,Exam
104289,Course
108829,Course
123549,Course
138379,Course
168859,Course
173109,Course
26796,Certification
3186,Assessment
21656,Assessment
37726,Exam
182129,Course
189429,Course
5502,Track
6682,Track
9586,Exam
27796,Certification
4346,Assessment
22616,Assessment
2052,Track
86038,Exam
28492,Track
4692,Track
27866,Certification
2076,Certification
16986,Assessment
38276,Exam
53158,Exam
12212,Track
44258,Exam
105869,Course
114309,Course
123899,Course
124499,Course
171189,Course
175849,Course
26846,Certification
3196,Assessment
21666,Assessment
37786,Exam
186389,Course
189269,Course
27052,Track
34318,Exam
9636,Certification
27856,Certification
4386,Assessment
22626,Assessment
8212,Track
50308,Exam
86208,Exam
46848,Exam
27926,Certification
2116,Assessment
17016,Assessment
38326,Exam
13842,Track
5472,Track
26642,Track
104279,Course
114659,Course
120939,Course
125659,Course
162629,Course
177519,Course
26856,Certification
3206,Assessment
21786,Assessment
37816,Exam
187729,Course
189329,Course
40738,Exam
13012,Track
9656,Certification
27876,Certification
4716,Certification
22946,Assessment
3002,Track
688,Exam
41258,Exam
35628,Exam
27936,Certification
2126,Assessment
17096,Assessment
38446,Exam
14592,Track
40978,Exam
44138,Exam
104919,Course
108459,Course
123369,Course
123629,Course
169899,Course
174309,Course
26986,Certification
3286,Assessment
21886,Assessment
37856,Exam
186369,Course
187829,Course
6642,Track
12352,Track
9886,Assessment
27896,Certification
5236,Assessment
23116,Assessment
932,Track
48728,Exam
28392,Track
54488,Exam
28056,Exam
2266,Assessment
17126,Assessment
38696,Exam
13072,Track
43718,Exam
50148,Exam
104609,Course
109939,Course
123449,Course
126739,Course
168819,Course
176809,Course
26996,Certification
3296,Assessment
22086,Assessment
37866,Exam
187209,Course
188719,Course
26012,Track
26512,Track
9916,Assessment
27976,Exam
5336,Assessment
23246,Assessment
48688,Exam
98718,Exam
52478,Exam
51728,Exam
28176,Exam
2436,Assessment
17176,Assessment
38846,Exam
1002,Track
40028,Exam
552,Track
105189,Course
108419,Course
121749,Course
138609,Course
162619,Course
176249,Course
27026,Certification
3376,Assessment
22096,Assessment
37876,Exam
187039,Course
189379,Course
98208,Exam
13992,Track
9936,Assessment
28106,Exam
5646,Certification
23326,Assessment
242,Track
45588,Exam
5122,Track
53918,Exam
28256,Exam
2476,Assessment
17336,Assessment
39066,Exam
52018,Exam
11362,Track
30972,Track
105349,Course
118699,Course
122619,Course
124259,Course
170269,Course
174909,Course
27206,Certification
3546,Assessment
22216,Assessment
38016,Exam
186199,Course
188759,Course
11242,Track
15412,Track
10086,Certification
28336,Certification
5736,Certification
23466,Assessment
48458,Exam
42768,Exam
8732,Track
44838,Exam
28276,Exam
2496,Certification
17426,Assessment
39196,Exam
37008,Exam
13882,Track
42498,Exam
104879,Course
116209,Course
120139,Course
137459,Course
159899,Course
176289,Course
27626,Certification
3556,Assessment
22226,Assessment
38106,Exam
187139,Course
189599,Course
10022,Track
43558,Exam
10136,Certification
28396,Exam
5826,Assessment
23496,Assessment
41788,Exam
88058,Exam
5712,Track
2522,Track
28316,Certification
2516,Assessment
17556,Assessment
39206,Exam
3352,Track
10442,Track
43678,Exam
104309,Course
109219,Course
123559,Course
138489,Course
169849,Course
173129,Course
27666,Certification
3626,Assessment
22346,Assessment
38356,Exam
182469,Course
189539,Course
5862,Track
7112,Track
10176,Assessment
28406,Exam
5836,Assessment
23606,Assessment
2372,Track
86108,Exam
28762,Track
5082,Track
28356,Certification
2786,Assessment
