CustomerKey,Workload,PartnerOneKey,Consumption
676997550,MODWRK,1148060,5946.91
677004478,MODWRK,6446231,592.89
683863930,MODWRK,1626678,28.06
676967909,MODWRK,1145624,4640.28
683876416,MODWRK,1132726,840.09
676955937,MODWRK,2924065,0
683173966,AZURE,4580169,2890690.4
677651991,AZURE,1014878,66258.35
676952677,AZURE,4836695,97238.28
677620302,MODWRK,1022177,823.1
677042277,MODWRK,1473062,181.85
683842141,AZURE,1020691,2613.38
683173908,AZURE,1021816,664757.43
676963290,MODWRK,6002570,1550.44
676989452,MODWRK,1022625,1853.21
677621022,MODWRK,1202533,1312
677621518,AZURE,1161804,8720.06
677047397,AZURE,1560886,73787.46
683173890,AZURE,2132484,365.49
677622227,BIZAPP,1160485,111.75
676957167,MODWRK,6033817,105507.81
676954044,MODWRK,1021288,0
677093735,MODWRK,2823963,601.48
676952419,MODWRK,1115415,7491.61
677094907,AZURE,1164670,3378.45
684408056,MODWRK,4476153,0
676962986,AZURE,1018532,38649.55
677574378,AZURE,1359050,31208.04
677070315,AZURE,3179685,145994.4
677652113,AZURE,3612,41100.65
676975045,MODWRK,1099908,0
683882569,AZURE,4905091,516682.6
677621773,MODWRK,3664166,10174.23
677006337,BIZAPP,1094669,3.97
683173970,MODWRK,1103875,24774.48
683928858,AZURE,4852877,1537670.38
676960792,MODWRK,2423529,1112.3
676955790,BIZAPP,1016027,371.8
677006592,AZURE,4640959,47281.26
677883463,MODWRK,1020955,8249.53
683842189,AZURE,1018747,134203.71
683912653,MODWRK,1111214,890.9
683862634,MODWRK,1018856,4678.27
677867645,MODWRK,4720842,1455.91
676991566,MODWRK,3676311,23.45
677620830,AZURE,4665790,5487.87
676994074,BIZAPP,1214559,2.01
676979522,MODWRK,1121211,52967.57
676954992,MODWRK,1022622,1159.89
676953150,MODWRK,3447433,20538.06
677620573,AZURE,4273412,45537.34
676955082,BIZAPP,1142674,8.4
683842588,BIZAPP,1014942,4.04
677073677,BIZAPP,1019922,1857.71
677001700,AZURE,1116756,4771.01
676953548,MODWRK,1169484,188.78
683887310,MODWRK,1099977,682.96
676966962,MODWRK,4901611,2235.33
677620559,MODWRK,4864219,1321.37
676953005,AZURE,5398519,28897602.15
676969452,AZURE,5028851,445818.09
677028858,MODWRK,1120904,40809.6
677620804,AZURE,1089064,32982.92
676953169,AZURE,3225522,81266.26
683870276,AZURE,2805992,993145.26
683174086,AZURE,1104812,14989.5
676965164,AZURE,3927848,1423456.33
676958328,AZURE,1144050,450486.01
676992937,MODWRK,4836695,5447.02
683864859,AZURE,5206095,87703.68
677620850,AZURE,1473062,35668.27
676971223,AZURE,1020691,16987.97
676959506,AZURE,1164490,498224.54
677620533,AZURE,6192587,15309
676993678,MODWRK,4550075,2738.96
680552627,MODWRK,1202533,348.73
683969315,MODWRK,1022918,134.48
677047397,MODWRK,1560886,1407.48
677056245,MODWRK,1024145,413.07
676961985,MODWRK,1023128,23745.15
677028095,BIZAPP,2604452,45.48
676951824,BIZAPP,1047415,700.41
683842018,MODWRK,1709371,0
676957167,AZURE,1099699,441231.31
683841802,MODWRK,1110300,2768.34
676973815,AZURE,4699841,14895
676965992,AZURE,1018532,5219688.38
677005895,AZURE,1359050,81049.95
683847687,AZURE,2099275,237089.38
683173841,AZURE,1020465,2845079.98
676971202,MODWRK,4394736,3060.55
677050581,AZURE,4801067,854238.41
676981372,MODWRK,3664166,1725.05
677006337,MODWRK,1094669,3621.73
677621695,AZURE,1024366,40959.64
683928858,MODWRK,1166415,1216.35
676953663,MODWRK,1253796,2597.76
676953140,MODWRK,2799203,11867.75
677072497,MODWRK,1021611,811.03
676952543,MODWRK,1020955,5286.7
677026215,MODWRK,1018747,5704.6
683173944,AZURE,1836658,320760.24
683843241,AZURE,1018856,14431.45
676952740,MODWRK,1164205,34975.5
677030521,MODWRK,1193129,4596.16
683174023,AZURE,5067616,192838.35
676969750,AZURE,1018636,28025.4
676954246,AZURE,1121211,15452.65
683842146,AZURE,1022622,4544.88
676953584,MODWRK,3447433,60493.72
683842018,AZURE,1023309,35778.98
677069023,AZURE,4531632,2765930.25
676966962,AZURE,1982107,114743.93
677032403,AZURE,1117500,93670.79
677001700,MODWRK,1116756,13964.29
676972201,MODWRK,4919849,0
677027307,AZURE,3928,1038529.07
677010221,AZURE,-100638,88235.74
676994972,BIZAPP,1051771,38.94
683521419,MODWRK,1021410,39.32
676954680,AZURE,1060347,4746552.98
676953800,MODWRK,6446231,2130.18
676966833,AZURE,4471502,731.23
676952854,BIZAPP,1145624,26.96
677620854,AZURE,5045361,82841.82
683849890,AZURE,1854867,61643.3
676962903,AZURE,4634532,1440640.48
677015101,AZURE,1020868,184661.92
676971063,AZURE,6119655,2100.78
677030171,AZURE,2118967,953691.52
676963629,MODWRK,5011463,1821.77
683863716,AZURE,1020691,934.82
676960605,BIZAPP,1319007,319.5
677621454,AZURE,5024737,196094.62
676953642,AZURE,1354488,26441.84
677062167,AZURE,-112010,14433189.84
677620376,MODWRK,1015394,486.91
683940500,MODWRK,1026212,4762
677042277,AZURE,4166812,468786.92
676992682,AZURE,2829277,1952052.93
683174151,AZURE,4637655,86922.41
676971051,BIZAPP,1047415,136.32
683870509,MODWRK,1636103,7335.79
677574419,MODWRK,1021730,1458.09
683841785,MODWRK,1116873,1969.19
683386860,AZURE,1028682,3532.56
683861253,MODWRK,1018532,1177.35
676954032,AZURE,1020958,944762.96
677620419,AZURE,4440419,215624.88
683841889,MODWRK,1119707,3752.08
676959395,MODWRK,1057333,667.54
676953208,BIZAPP,1161962,43.41
676953967,AZURE,4561426,16727811.41
676959222,MODWRK,1028922,10060.77
677046230,AZURE,5177991,12622.35
676953036,MODWRK,1166415,47310.86
676953401,BIZAPP,4891964,31.81
676993678,AZURE,1515528,226786.64
677621360,AZURE,4640959,11234.34
677015235,MODWRK,1022559,2396.43
676952531,AZURE,1018747,242355.56
676988030,MODWRK,2239909,30504.74
676958509,MODWRK,1018856,1018.33
676953739,MODWRK,1164205,9071.83
677620550,MODWRK,5312476,383.48
676953139,AZURE,4665790,277755.12
676969750,MODWRK,1018636,6055.82
683845088,MODWRK,1121211,122.16
683842146,MODWRK,1022622,7451.85
676955693,AZURE,1118775,17846812.33
676959931,AZURE,6016266,534334.79
683859288,AZURE,4854126,4.88
676955998,AZURE,1982107,22781.44
677621100,MODWRK,1020340,3843.67
683919638,AZURE,4913522,788394.8
683868965,AZURE,5316433,2467.14
677620942,MODWRK,1095851,3656.61
683841758,MODWRK,2347484,2323.26
676954111,MODWRK,1188005,25.52
683957039,MODWRK,1584052,831.72
676963982,MODWRK,1062210,33583.42
676966654,AZURE,1023126,1114875.38
677102849,AZURE,2184493,50148.89
676952722,MODWRK,1145624,43153.9
677072011,MODWRK,1023900,4183.83
676953029,AZURE,1104812,15351
677620780,BIZAPP,2346477,0
676952468,AZURE,4863494,49712.72
676952677,MODWRK,4836695,1353.63
676966211,AZURE,5206095,1039.6
676968339,MODWRK,1473062,3909.47
676982106,AZURE,1020691,15172.5
683841946,AZURE,2295721,4289.9
683843808,MODWRK,1566085,1718.8
676975126,MODWRK,1022625,16206.02
676994972,MODWRK,2227900,6190.32
677621518,MODWRK,1161804,1485.51
676955336,MODWRK,4847509,378.69
676996872,AZURE,1612033,5666584.91
676960740,MODWRK,2910694,2222.06
677053167,AZURE,4794418,834422.93
683842191,MODWRK,1020951,8749.35
676953103,MODWRK,2823963,300426.16
676956827,BIZAPP,1117529,2268
676980302,AZURE,5315075,122094
677033270,MODWRK,1028682,469.72
676969601,AZURE,1018532,468252.25
676983108,MODWRK,1021985,49827.28
676956789,MODWRK,3920564,568.03
677063668,BIZAPP,4101389,42.1
676986387,MODWRK,4263000,2745.28
683882569,MODWRK,4905091,4721.29
676990395,MODWRK,1021227,35.02
676971849,MODWRK,5081177,2217.06
677574777,AZURE,2332185,32361.95
676963939,MODWRK,1166415,467.14
676953140,BIZAPP,1416163,620.71
676957752,BIZAPP,1016027,459.11
676954993,AZURE,4640959,123.78
